"ID","Pred","Actual","ActualWinner","ActualScore","Brier_Score","OverallBrier"
"2025_1196_1222",0.4958,1,1196,"65 - 63",NA,NA
"2025_1120_1196",0.5828,0,1196,"79 - 73",NA,NA
"2025_1181_1222",0.6038,0,1222,"70 - 67",NA,NA
"2025_1222_1397",0.5859,1,1222,"69 - 50",NA,NA
"2025_1120_1277",0.7264,1,1120,"70 - 64",NA,NA
"2025_1196_1403",0.6389,1,1196,"84 - 79",NA,NA
"2025_1104_1181",0.3118,0,1181,"85 - 65",NA,NA
"2025_1120_1276",0.8258,1,1120,"78 - 65",NA,NA
"2025_1222_1345",0.7096,1,1222,"62 - 60",NA,NA
"2025_1246_1397",0.358,0,1397,"78 - 65",NA,NA
"2025_1277_1279",0.6045,1,1277,"73 - 70",NA,NA
"2025_1112_1181",0.2238,0,1181,"100 - 93",NA,NA
"2025_1116_1403",0.3343,0,1403,"85 - 83",NA,NA
"2025_1104_1140",0.6798,1,1104,"113 - 88",NA,NA
"2025_1196_1268",0.693,1,1196,"87 - 71",NA,NA
"2025_1112_1332",0.6324,1,1112,"87 - 83",NA,NA
"2025_1277_1307",0.6995,1,1277,"71 - 63",NA,NA
"2025_1161_1268",0.2731,0,1268,"72 - 71",NA,NA
"2025_1235_1279",0.6002,0,1279,"91 - 78",NA,NA
"2025_1104_1388",0.6582,1,1104,"80 - 66",NA,NA
"2025_1228_1246",0.5002,0,1246,"84 - 75",NA,NA
"2025_1124_1181",0.141,0,1181,"89 - 66",NA,NA
"2025_1163_1196",0.1863,0,1196,"77 - 75",NA,NA
"2025_1116_1385",0.3849,1,1116,"75 - 66",NA,NA
"2025_1120_1166",0.8585,1,1120,"82 - 70",NA,NA
"2025_1140_1458",0.4055,1,1140,"91 - 89",NA,NA
"2025_1211_1222",0.3451,0,1222,"81 - 76",NA,NA
"2025_1397_1417",0.7012,1,1397,"67 - 58",NA,NA
"2025_1270_1345",0.2656,0,1345,"76 - 62",NA,NA
"2025_1276_1401",0.4717,1,1276,"91 - 79",NA,NA
"2025_1179_1403",0.2067,0,1403,"77 - 64",NA,NA
"2025_1163_1328",0.5252,1,1163,"67 - 59",NA,NA
"2025_1228_1462",0.6718,1,1228,"86 - 73",NA,NA
"2025_1136_1277",0.0708,0,1277,"87 - 62",NA,NA
"2025_1251_1332",0.3131,0,1332,"81 - 52",NA,NA
"2025_1196_1313",0.9773,1,1196,"95 - 69",NA,NA
"2025_1246_1407",0.8684,1,1246,"76 - 57",NA,NA
"2025_1266_1307",0.6065,0,1307,"75 - 66",NA,NA
"2025_1103_1112",0.1495,0,1112,"93 - 65",NA,NA
"2025_1181_1291",0.9953,1,1181,"93 - 49",NA,NA
"2025_1388_1435",0.6102,1,1388,"59 - 56",NA,NA
"2025_1279_1314",0.607,1,1279,"71 - 64",NA,NA
"2025_1213_1268",0.158,0,1268,"81 - 49",NA,NA
"2025_1124_1280",0.4897,1,1124,"75 - 72",NA,NA
"2025_1104_1352",0.952,1,1104,"90 - 81",NA,NA
"2025_1235_1252",0.8309,1,1235,"82 - 55",NA,NA
"2025_1161_1272",0.4394,1,1161,"78 - 70",NA,NA
"2025_1417_1429",0.6482,1,1417,"72 - 47",NA,NA
"2025_1303_1385",0.0747,0,1385,"83 - 53",NA,NA
"2025_1276_1471",0.5671,1,1276,"68 - 65",NA,NA
"2025_1403_1423",0.8965,1,1403,"82 - 72",NA,NA
"2025_1179_1281",0.2218,1,1179,"67 - 57",NA,NA
"2025_1401_1463",0.7374,1,1401,"80 - 71",NA,NA
"2025_1116_1242",0.4062,1,1116,"79 - 72",NA,NA
"2025_1397_1459",0.9495,1,1397,"77 - 62",NA,NA
"2025_1140_1433",0.5157,1,1140,"80 - 71",NA,NA
"2025_1208_1211",0.3157,0,1211,"89 - 68",NA,NA
"2025_1106_1120",0.0038,0,1120,"83 - 63",NA,NA
"2025_1155_1270",0.7323,0,1270,"69 - 67",NA,NA
"2025_1285_1458",0.0593,0,1458,"85 - 66",NA,NA
"2025_1188_1222",0.0119,0,1222,"78 - 40",NA,NA
"2025_1219_1345",0.1861,0,1345,"75 - 63",NA,NA
"2025_1166_1257",0.4121,1,1166,"89 - 75",NA,NA
"2025_1400_1462",0.4841,0,1462,"86 - 80",NA,NA
"2025_1110_1291",0.4976,0,1291,"83 - 72",NA,NA
"2025_1106_1384",0.5526,1,1106,"70 - 68",NA,NA
"2025_1314_1361",0.9388,1,1314,"95 - 68",NA,NA
"2025_3163_3376",0.5646,1,3163,"82 - 59",0.18957316,NA
"2025_3376_3400",0.6327,1,3376,"74 - 57",0.13490929,NA
"2025_3163_3417",0.7034,1,3163,"85 - 51",0.08797156,NA
"2025_3395_3400",0.3517,0,3400,"58 - 47",0.12369289,NA
"2025_3163_3425",0.7555,1,3163,"78 - 64",0.05978025,NA
"2025_3181_3376",0.2051,0,3376,"54 - 50",0.04206601,NA
"2025_3261_3417",0.2435,0,3417,"72 - 65",0.05929225,NA
"2025_3243_3425",0.3491,0,3425,"67 - 61",0.12187081,NA
"2025_3323_3395",0.6403,0,3395,"71 - 62",0.40998409,NA
"2025_3397_3400",0.2252,0,3400,"67 - 59",0.05071504,NA
"2025_3163_3328",0.8721,1,3163,"82 - 59",0.01635841,NA
"2025_3279_3417",0.2552,0,3417,"76 - 62",0.06512704,NA
"2025_3181_3314",0.6395,1,3181,"47 - 38",0.12996025,NA
"2025_3268_3376",0.1094,0,3376,"71 - 67",0.01196836,NA
"2025_3261_3301",0.5223,1,3261,"80 - 73",0.22819729,NA
"2025_3280_3425",0.1463,0,3425,"96 - 59",0.02140369,NA
"2025_3314_3452",0.4028,1,3314,"58 - 47",0.35664784,NA
"2025_3163_3355",0.9864,1,3163,"91 - 57",0.000184959999999999,NA
"2025_3277_3301",0.4308,0,3301,"83 - 49",0.18558864,NA
"2025_3228_3400",0.1432,0,3400,"65 - 48",0.02050624,NA
"2025_3234_3328",0.3914,0,3328,"96 - 62",0.15319396,NA
"2025_3104_3268",0.5363,0,3268,"111 - 108",0.28761769,NA
"2025_3199_3261",0.388,0,3261,"101 - 71",0.150544,NA
"2025_3350_3417",0.0906,0,3417,"84 - 67",0.00820836,NA
"2025_3326_3397",0.5076,0,3397,"82 - 67",0.25765776,NA
"2025_3124_3279",0.4344,0,3279,"69 - 63",0.18870336,NA
"2025_3257_3395",0.2052,0,3395,"85 - 70",0.04210704,NA
"2025_3181_3332",0.8027,1,3181,"59 - 53",0.03892729,NA
"2025_3276_3323",0.2139,0,3323,"76 - 55",0.04575321,NA
"2025_3243_3246",0.5613,1,3243,"80 - 79",0.19245769,NA
"2025_3231_3376",0.0624,0,3376,"64 - 53",0.00389376,NA
"2025_3166_3228",0.4538,0,3228,"66 - 57",0.20593444,NA
"2025_3199_3206",0.7215,1,3199,"94 - 59",0.07756225,NA
"2025_3400_3456",0.9998,1,3400,"105 - 61",3.99999999999912e-08,NA
"2025_3261_3361",0.9581,1,3261,"103 - 48",0.00175561,NA
"2025_3329_3355",0.7229,0,3355,"74 - 68",0.52258441,NA
"2025_3268_3313",0.9135,1,3268,"82 - 69",0.00748225,NA
"2025_3217_3277",0.2242,0,3277,"64 - 50",0.05026564,NA
"2025_3314_3333",0.9616,1,3314,"70 - 49",0.00147456,NA
"2025_3143_3280",0.5394,0,3280,"59 - 46",0.29095236,NA
"2025_3234_3293",0.797,1,3234,"92 - 57",0.041209,NA
"2025_3117_3163",8e-04,0,3163,"103 - 34",6.4e-07,NA
