ID,TeamName.1,TeamName.2,Actual,Pred_Override,Pred_Base,Brier_Override,Brier_Base,Override_Applied
2026_1103_1403,Akron,Texas Tech,0,0.18955,0.18955,0.03593,0.03593,0
2026_1104_1220,Alabama,Hofstra,1,0.85627,0.85627,0.02066,0.02066,0
2026_1104_1276,Alabama,Michigan,0,0.24432,0.24432,0.05969,0.05969,0
2026_1104_1403,Alabama,Texas Tech,1,0.50845,0.50845,0.24162,0.24162,0
2026_1112_1116,Arizona,Arkansas,1,0.75996,0.75996,0.05762,0.05762,0
2026_1112_1254,Arizona,LIU Brooklyn,1,1,0.99498,0,3e-05,1
2026_1112_1276,Arizona,Michigan,0,0.49547,0.49547,0.24549,0.24549,0
2026_1112_1345,Arizona,Purdue,1,0.64092,0.64092,0.12894,0.12894,0
2026_1112_1429,Arizona,Utah St,1,1,0.85012,0,0.02246,1
2026_1116_1218,Arkansas,Hawaii,1,0.89014,0.89014,0.01207,0.01207,0
2026_1116_1219,Arkansas,High Point,1,0.86918,0.86918,0.01711,0.01711,0
2026_1140_1400,BYU,Texas,0,0.58764,0.58764,0.34532,0.34532,0
2026_1155_1234,Clemson,Iowa,0,0.38804,0.38804,0.15058,0.15058,0
2026_1163_1181,Connecticut,Duke,1,0.2648,0.2648,0.54052,0.54052,0
2026_1163_1202,Connecticut,Furman,1,1,0.96957,0,0.00093,1
2026_1163_1228,Connecticut,Illinois,1,0.37251,0.37251,0.39374,0.39374,0
2026_1163_1276,Connecticut,Michigan,0,0.27799,0.27799,0.07728,0.07728,0
2026_1163_1277,Connecticut,Michigan St,1,0.48399,0.48399,0.26627,0.26627,0
2026_1163_1417,Connecticut,UCLA,1,0.65171,0.65171,0.12131,0.12131,0
2026_1181_1373,Duke,Siena,1,1,0.9948,0,3e-05,1
2026_1181_1385,Duke,St John's,1,0.79532,0.79532,0.04189,0.04189,0
2026_1181_1395,Duke,TCU,1,1,0.90218,0,0.00957,1
2026_1196_1234,Florida,Iowa,0,1,0.73735,1,0.54369,1
2026_1196_1341,Florida,Prairie View,1,1,0.99703,0,1e-05,1
2026_1208_1387,Georgia,St Louis,0,0.5638,0.5638,0.31787,0.31787,0
2026_1211_1244,Gonzaga,Kennesaw,1,0.95545,0.95545,0.00198,0.00198,0
2026_1211_1400,Gonzaga,Texas,0,0.67697,0.67697,0.45829,0.45829,0
2026_1219_1458,High Point,Wisconsin,1,0.16528,0.16528,0.69676,0.69676,0
2026_1222_1225,Houston,Idaho,1,1,0.97607,0,0.00057,1
2026_1222_1228,Houston,Illinois,0,0.51233,0.51233,0.26248,0.26248,0
2026_1222_1401,Houston,Texas A&M,1,0.81307,0.81307,0.03494,0.03494,0
2026_1224_1276,Howard,Michigan,0,0,0.00613,0,4e-05,1
2026_1228_1234,Illinois,Iowa,1,0.72496,0.72496,0.07565,0.07565,0
2026_1228_1335,Illinois,Penn,1,0.97795,0.97795,0.00049,0.00049,0
2026_1228_1433,Illinois,VCU,1,0.85446,0.85446,0.02118,0.02118,0
