Rk,Team,Conf,NetRtg,ORtg,DRtg,AdjT,Luck,SS_NetRtg,SS_ORtg,SS_DRtg,NCSOS_NetRtg
1,Duke,ACC,38.9,128,89.1,65.3,,14.29,117,102.7,10.07
2,Arizona,B12,37.66,127.7,90,69.8,0.023,14.97,117.6,102.7,3.25
3,Michigan,B10,37.59,126.6,89,70.9,0.045,16.65,119.1,102.5,12.49
4,Florida,SEC,33.79,125.5,91.7,70.5,-0.036,16.01,119.4,103.4,7.96
5,Houston,B12,33.43,124.9,91.4,63.3,-0.006,13.58,116.9,103.3,0.87
6,Iowa St,B12,32.42,123.8,91.4,66.5,-0.012,12.44,115.6,103.1,-3.57
7,Illinois,B10,32.1,131.2,99.1,65.5,-0.05,13.64,117,103.4,3.76
8,Purdue,B10,31.2,131.6,100.4,64.4,-0.006,15.88,118.3,102.5,6.31
9,Michigan St,B10,28.31,123,94.7,66,0.005,13.69,118,104.4,3.65
10,Gonzaga,WCC,28.1,122,93.9,68.6,0.072,5.89,113,107.1,8.31
11,Connecticut,BE,27.87,122,94.1,64.4,0.055,12.01,115.3,103.3,7.63
12,Vanderbilt,SEC,27.51,126.8,99.3,68.8,0.018,14.56,118,103.4,1.16
13,Virginia,ACC,26.71,122.5,95.8,65.7,0.056,9.95,115.4,105.5,-3.27
14,Nebraska,B10,26.16,118.5,92.4,66.7,0.034,11.59,116.4,104.8,-6.03
15,Arkansas,SEC,26.05,127.7,101.6,71,0.051,14.95,118.9,103.9,4.41
16,Tennessee,SEC,26.02,121.1,95,65,-0.06,14.77,119,104.3,0.75
17,St. John's,BE,25.91,120.1,94.2,69.6,0.061,11.52,115.1,103.6,6.61
18,Alabama,SEC,25.72,129,103.3,73.1,0.019,16.75,119.4,102.7,13.42
19,Louisville,ACC,25.42,124.1,98.6,69.6,-0.02,12.55,115.8,103.3,2.41
20,Texas Tech,B12,25.22,125,99.8,66.2,0.006,15.64,118.3,102.7,7.75
21,Kansas,B12,24.44,118.3,93.9,67.6,0.053,16.95,118,101,10.99
22,Wisconsin,B10,23.39,125.3,102,68.7,0.041,13.93,117.2,103.3,-1.1
23,BYU,B12,23.25,125.5,102.2,69.9,-0.017,14.27,116.3,102,4.88
24,Saint Mary's,WCC,23.07,120.3,97.2,65.2,0.011,4.99,111.5,106.5,3.9
25,Iowa,B10,22.44,121.7,99.3,63,-0.061,11.37,115.6,104.2,-7.17
26,Ohio St,B10,22.24,124.3,102.1,66.1,-0.031,13.67,116.6,103,-1.82
27,UCLA,B10,21.67,123.7,102.1,64.6,0.017,12.22,116.1,103.9,-2.17
28,Kentucky,SEC,21.48,120.5,99,68.3,-0.019,15.92,119,103.1,1.33
29,North Carolina,ACC,20.84,121.4,100.5,67.9,0.057,11.46,115.4,103.9,1.33
30,Utah St,MWC,20.76,122.1,101.4,67.7,0.065,7.13,112.8,105.7,1.97
31,Miami FL,ACC,20.68,121.4,100.7,67.6,0.021,7.99,113.7,105.7,-7.33
32,Georgia,SEC,20.48,124.7,104.2,71.4,-0.005,10.78,116,105.2,-6.45
33,Villanova,BE,19.97,120.4,100.4,65.2,0.067,10.37,114.7,104.3,2.9
34,N.C. State,ACC,19.6,124.1,104.5,69.1,-0.029,11.97,116,104,4.1
35,Santa Clara,WCC,19.4,123.6,104.2,69.2,0.015,6.02,111.8,105.8,3.91
36,Clemson,ACC,19.24,116.5,97.3,64.2,0.011,10.53,115.2,104.7,0.64
37,Texas,SEC,19.03,125,105.9,66.9,-0.083,13.7,117.4,103.7,-6.35
38,Auburn,SEC,19.02,124.8,105.8,67.2,-0.053,16.65,119.4,102.8,8.4
39,Texas A&M,SEC,18.67,119.7,101,70.5,-0.002,11.15,117,105.8,-5.88
40,Oklahoma,SEC,18.37,124.2,105.8,66.2,-0.07,13.3,117.3,104,-5.52
41,Saint Louis,A10,18.32,119.5,101.2,71,0.03,1.03,108.9,107.8,-5.82
42,SMU,ACC,18.09,122.9,104.8,68.5,-0.043,11.15,115.7,104.6,1.24
43,TCU,B12,17.59,115.4,97.8,67.7,0.004,11.04,115.2,104.1,-6.96
44,Cincinnati,B12,17.49,111.2,93.7,67.5,-0.073,11.02,114.8,103.8,-3.24
45,VCU,A10,17.21,119.9,102.7,68.5,-0.007,3.49,110.4,106.9,-1.27
46,Indiana,B10,17.18,120.3,103.2,66.1,-0.041,11.8,116.1,104.3,-4.97
47,South Florida,Amer,16.39,117.3,100.9,71.5,-0.026,3.04,111.2,108.2,4.94
48,San Diego St,MWC,16.39,113.2,96.9,68.7,0.015,8.57,114.3,105.7,5.34
49,Baylor,B12,16,122.9,106.9,67.8,-0.086,13.92,115.8,101.8,1.14
50,New Mexico,MWC,15.81,117.1,101.3,69.8,-0.035,5.68,111.8,106.1,0.53
51,Seton Hall,BE,15.71,110.5,94.8,65.1,-0.033,8.99,113.9,104.9,-4.21
52,Missouri,SEC,15.39,119.5,104.1,66.2,0.041,11.51,116.5,105,-7.78
53,Washington,B10,15.12,117.2,102.1,67.1,-0.101,11.97,116.8,104.8,-0.75
54,UCF,B12,15.04,120.5,105.4,69.2,0.097,11.91,115,103.1,-2.56
55,Virginia Tech,ACC,13.69,117.2,103.6,67,-0.01,9.99,115.1,105.1,-0.87
56,Florida St,ACC,13.48,118.4,104.9,70.4,-0.006,11.2,114.9,103.7,-3.27
57,Northwestern,B10,13.41,117.5,104.1,65,-0.079,13.22,117.2,103.9,-1.68
58,Stanford,ACC,13.37,117.1,103.7,66.7,0.03,8.77,113.5,104.8,-0.45
59,West Virginia,B12,13.27,110,96.7,62.2,-0.033,9.3,114.2,104.9,-8.28
60,LSU,SEC,13.23,119.8,106.6,66.6,-0.092,10.94,115.7,104.8,-4.66
61,Grand Canyon,MWC,13.19,111,97.8,68,-0.068,3.78,111.7,107.9,-5.77
62,Boise St,MWC,13.18,117,103.8,65.7,0.028,8.44,114.1,105.7,7.73
63,Tulsa,Amer,12.97,121.2,108.2,67.9,0.021,0.59,109.1,108.5,-2.44
64,Akron,MAC,12.8,118.8,106,70.3,0.018,-3.65,108.5,112.1,-3.11
65,Mississippi,SEC,12.62,114.1,101.4,66.3,-0.07,14.22,118.6,104.4,-2.53
66,Oklahoma St,B12,12.58,120.1,107.5,72,0.052,12.19,115.1,103,-0.94
67,Arizona St,B12,12.52,115.8,103.2,69.2,0.062,14.49,117.7,103.2,5.81
68,McNeese,Slnd,12.48,114.3,101.8,66.2,0.084,-1.86,107.5,109.4,9.13
69,Belmont,MVC,12.26,120.7,108.4,68.9,0.035,-0.14,108.2,108.3,-4.64
70,Colorado,B12,12.11,118.9,106.8,68.7,0.024,10.83,115.3,104.5,0.07
71,Providence,BE,11.81,121.1,109.3,71.2,-0.09,10.99,114.1,103.1,-0.53
72,Northern Iowa,MVC,11.81,110,98.2,62.3,-0.07,1.27,109.5,108.2,-0.87
73,California,ACC,11.43,114.1,102.6,68,0.044,7.12,113.4,106.3,-6.42
74,Wake Forest,ACC,11.39,117,105.6,68.1,-0.022,11.27,115.8,104.6,0.66
75,Nevada,MWC,11.3,115.7,104.4,66.1,0.012,5.99,112.1,106.1,2.83
76,Creighton,BE,11.01,116.2,105.2,67.5,-0.029,11.72,114.6,102.8,3.34
77,Minnesota,B10,10.91,114.6,103.7,62.5,-0.061,10.48,116,105.5,-8.65
78,Dayton,A10,10.91,110.6,99.7,66.9,0.043,4.83,112,107.2,1.18
79,Georgetown,BE,10.89,114.6,103.7,66.2,-0.049,10.54,113.9,103.4,-4.13
80,USC,B10,10.81,113.5,102.7,70.6,0.068,12.23,116.4,104.2,-0.84
81,Yale,Ivy,10.65,121.1,110.4,64.4,0.045,-1.09,108.8,109.9,1.26
82,Wichita St,Amer,9.78,112.6,102.8,66.1,-0.038,1.35,110.2,108.8,-2.24
83,Syracuse,ACC,9.74,114.6,104.9,67.4,-0.046,10.33,113.9,103.6,-2.19
84,Marquette,BE,9.66,111.8,102.2,68.9,-0.111,10.97,115.3,104.3,1.85
85,George Washington,A10,9.64,117.6,108,69.1,-0.141,1.58,109.3,107.7,-2.8
86,Butler,BE,9.49,116.1,106.6,68.7,-0.031,9.95,114,104.1,-3.01
87,Hofstra,CAA,9.49,114.6,105.1,64.7,-0.052,-0.91,108,108.9,3.13
88,Colorado St,MWC,9.49,118.9,109.4,63,0.04,4.89,112.1,107.2,-2.19
89,Notre Dame,ACC,8.88,115.5,106.6,65.9,-0.059,10.73,114.8,104.1,1.42
90,Utah Valley,WAC,8.82,112.8,104,68.7,0.033,-0.34,107,107.4,2.53
91,Stephen F. Austin,Slnd,8.43,112.6,104.2,65.7,0.029,-3.65,106,109.6,-3.79
92,High Point,BSth,8.4,117,108.6,69.9,0.048,-9.23,103.7,112.9,-8.88
93,Miami OH,MAC,8.26,116.8,108.5,69.9,0.099,-5.37,107.2,112.6,-9.91
94,Pittsburgh,ACC,7.6,113.7,106.1,63.5,-0.067,10.84,115,104.2,0.42
95,South Carolina,SEC,7.54,112.5,105,66.3,-0.062,11.04,116.7,105.7,-8.78
96,George Mason,A10,7.5,113.1,105.6,63.3,0.054,0.39,109.7,109.3,-7.88
97,Xavier,BE,7.47,116.9,109.4,70.2,0.016,11.41,114,102.6,1.07
98,Wyoming,MWC,7.4,115.1,107.7,66,-0.024,3.96,111.7,107.8,-5.34
99,Oregon,B10,7.03,111.6,104.6,65.9,-0.036,12.63,116.4,103.8,1.53
100,Mississippi St,SEC,7,112.7,105.7,69.6,-0.001,13.23,117.6,104.3,0.49
101,Kansas St,B12,6.98,113.2,106.3,72.6,-0.074,12.99,116.1,103.1,-0.2
102,DePaul,BE,6.83,107.1,100.3,66.2,-0.014,7.98,113.4,105.4,-9.93
103,Illinois St,MVC,6.66,110.5,103.9,66.7,-0.009,1.34,109.9,108.6,-2.8
104,UC Irvine,BW,6.21,104.9,98.7,68.2,-0.016,-0.7,108.4,109.1,0.61
105,Illinois Chicago,MVC,6.16,110.4,104.3,66.3,-0.061,1.6,110.1,108.5,-2.33
106,Cal Baptist,WAC,5.99,107.9,101.9,65.8,0.091,-1.95,107.1,109.1,-3.32
