"V1","Rk","Team","Conf","NetRtg","ORtg","DRtg","AdjT","Luck","SS_NetRtg","SS_ORtg","SS_DRtg","NCSOS_NetRtg","TeamID"
0,1,"Duke","ACC",39.4,129.1,89.7,66.3,-0.043,9.18,112.8,103.7,9.96,1181
1,2,"Auburn","SEC",37.67,130.7,93,68.6,0.063,18.31,117.2,98.9,11,1120
2,3,"Houston","B12",35.14,124.4,89.2,61.3,-0.001,13.2,113.4,100.2,3.25,1222
3,4,"Florida","SEC",33.97,126.8,92.9,69.5,-0.005,12.32,113.4,101.1,-1.18,1196
4,5,"Tennessee","SEC",31.4,118.5,87.1,64,0.03,14.83,116.7,101.9,-0.36,1397
5,6,"Alabama","SEC",29.44,127.3,97.8,75,0.029,18.25,117.7,99.5,12.59,1104
6,7,"Texas Tech","B12",27.59,124.3,96.7,65.9,-0.047,10.9,111.9,101,-4.19,1403
7,8,"Gonzaga","WCC",27.25,125.1,97.9,70.4,-0.092,7.05,111.5,104.5,9.83,1211
8,9,"Michigan St.","B10",26.9,118.1,91.2,67.8,-0.001,12.74,114.3,101.6,0.54,1277
9,10,"Wisconsin","B10",26.73,124,97.2,67.8,-0.044,13.32,114.6,101.2,0.72,1458
10,11,"Iowa St.","B12",26.49,119.5,93,69,-0.021,11.94,113.3,101.3,-0.89,1235
11,12,"Missouri","SEC",25.81,126.2,100.4,68.4,-0.031,11.42,112.9,101.4,-8.69,1281
12,13,"Arizona","B12",25.16,120.1,95,70.3,-0.053,15.47,115.5,100.1,6.06,1112
13,14,"Maryland","B10",24.8,118.5,93.7,70.1,-0.035,9.85,113.1,103.3,-9.94,1268
14,15,"St. John's","BE",24.66,113.8,89.1,70.2,-0.026,8.48,111.8,103.3,0.33,1385
15,16,"Purdue","B10",24.65,124.1,99.4,65.4,-0.005,15.98,116,100,10.85,1345
16,17,"Clemson","ACC",24.61,120.9,96.3,64.1,-0.03,8.71,112.6,103.9,4.4,1155
17,18,"Kentucky","SEC",24.41,125.3,100.9,70.9,-0.019,18,117,99,4.74,1246
18,19,"Illinois","B10",24.28,121.9,97.6,71.6,-0.035,16.06,115.2,99.1,3.68,1228
19,20,"Saint Mary's","WCC",23.57,117.1,93.5,62.2,0.015,5.7,111.4,105.7,5.8,1388
20,21,"Kansas","B12",23.42,115.2,91.7,68.9,-0.037,15.29,115.1,99.8,8.68,1242
21,22,"Texas A&M","SEC",22.99,115.9,93,66.8,0.011,16.15,115.8,99.7,7.77,1401
22,23,"Marquette","BE",22.56,118.2,95.7,67.6,0.006,11.36,113.1,101.7,9.28,1266
23,24,"Louisville","ACC",22.53,118.8,96.3,69.2,0.051,10.38,113.4,103,7.74,1257
24,25,"BYU","B12",22.3,123.4,101.1,67.3,0.01,9.93,111.6,101.6,-6.81,1140
25,26,"Mississippi","SEC",22.08,118,96,68.4,0.007,14.35,114.9,100.6,0.07,1279
26,27,"UCLA","B10",21.69,116.8,95.1,65,-0.005,12.77,114.2,101.4,-4.22,1417
27,28,"VCU","A10",21.26,116.9,95.7,66.6,-0.059,0.77,107.4,106.6,-3.27,1433
28,29,"Michigan","B10",21.18,117.1,95.9,69.9,0.073,13.35,114.1,100.8,4.43,1276
29,30,"Mississippi St.","SEC",20.38,119,98.6,68,0.059,15.29,115.8,100.5,1.73,1280
30,31,"Baylor","B12",20.32,121.1,100.7,65.4,-0.046,15.45,114.1,98.6,8.09,1124
31,32,"Ohio St.","B10",19.55,118.1,98.5,67.6,-0.064,14.81,115.4,100.6,3.7,1326
32,33,"Oregon","B10",19.53,117.7,98.2,68.1,0.085,14.36,115.1,100.8,4.67,1332
33,34,"Georgia","SEC",18.95,115.5,96.6,66.8,-0.002,13.94,114.2,100.3,-4.53,1208
34,35,"UC San Diego","BW",18.57,116.2,97.7,66.3,0.003,-1.25,106.6,107.9,-1.64,1471
35,36,"Arkansas","SEC",19.33,114.4,95.1,69.4,-0.007,15.21,115.3,100.1,-2.61,1116
35,36,"Connecticut","BE",18.29,122.3,104,64.4,-0.019,10.47,112.6,102.2,0.16,1163
36,37,"Creighton","BE",18.08,116.1,98,68,0.039,12.13,112.9,100.8,6.47,1166
37,38,"Vanderbilt","SEC",17.8,119.8,102,69.5,0.061,12.98,114.2,101.3,-5.9,1435
38,39,"North Carolina","ACC",17.21,119.2,102,71,-0.003,11.72,113.9,102.2,13.87,1314
39,40,"New Mexico","MWC",17.17,113.7,96.5,73.4,0.006,6.55,109.7,103.2,5.85,1307
40,43,"Indiana","B10",16.66,115.4,98.7,68.4,0.031,13.1,114.8,101.7,1.91,1231
41,44,"Xavier","BE",16.61,114.8,98.2,69.2,-0.016,9.6,111.5,101.9,-0.35,1462
42,45,"Oklahoma","SEC",16.57,118.3,101.8,68.8,-0.005,13.85,114.2,100.3,-4.53,1328
43,46,"SMU","ACC",16.57,118.6,102,69.1,0.03,6.25,111.2,104.9,-2.78,1374
44,47,"Memphis","Amer",16.53,114.7,98.2,70.7,0.079,7.95,112.7,104.8,16.72,1272
45,48,"Boise St.","MWC",16.42,116.6,100.2,66,-0.003,6.07,109.8,103.7,2.47,1129
46,49,"Northwestern","B10",16.34,115.1,98.7,65,-0.092,11.98,113.9,101.9,-1.46,1321
47,50,"Cincinnati","B12",16.16,112.6,96.5,65.6,-0.034,11.73,113.3,101.5,-4.61,1153
48,51,"Texas","SEC",15.99,116.7,100.7,67.5,-0.075,12.76,113.8,101,-7.74,1400
49,52,"Nebraska","B10",15.66,113.2,97.5,67.6,0.012,12.53,114.2,101.7,-2.01,1304
50,53,"West Virginia","B12",15.58,110.1,94.6,64.4,0.012,14.31,113.8,99.5,1.83,1452
51,54,"Santa Clara","WCC",15.17,116.9,101.7,69.3,-0.036,5.45,110.5,105.1,4.88,1365
52,55,"Villanova","BE",15.16,119.7,104.5,63.2,-0.067,8.07,111,102.9,-5.42,1437
53,56,"Utah St.","MWC",14.69,121,106.3,68.2,0.104,6.46,109.8,103.4,1.59,1429
54,57,"Colorado St.","MWC",14.47,115.4,100.9,66.3,0.012,5.58,109.4,103.8,2.23,1161
55,58,"Pittsburgh","ACC",14.13,117.1,103,66.4,-0.044,10.04,113.4,103.4,4.75,1338
56,59,"McNeese","Slnd",13.66,114.8,101.1,65.6,-0.026,-1.28,106,107.3,9.78,1270
57,60,"Drake","MVC",13,113.4,100.4,59.4,0.008,0,108.1,108.1,-1.77,1179
58,61,"North Texas","Amer",12.8,110.5,97.7,60.7,-0.005,2.41,109.7,107.3,2.73,1317
59,62,"USC","B10",12.49,116.6,104.1,68.7,-0.045,12.39,114,101.6,-1.03,1425
60,63,"San Francisco","WCC",12.47,112.3,99.9,67.7,0.062,3.64,109.9,106.3,-0.54,1362
61,64,"Penn St.","B10",12.43,114.6,102.2,70.1,-0.104,9.35,112.4,103.1,-9.82,1336
62,65,"Arizona St.","B12",12.23,112.3,100.1,68.8,-0.015,15.33,114.8,99.5,9.07,1113
63,66,"Kansas St.","B12",12.14,111.5,99.4,67.6,-0.06,12.45,112.4,100,-0.53,1243
64,67,"South Carolina","SEC",11.69,110.5,98.8,65.7,-0.066,14.22,115.5,101.3,-0.96,1376
65,68,"Utah","B12",11.61,113.6,102,68.9,-0.018,10.4,112.3,101.9,-8.53,1428
66,69,"Rutgers","B10",11.55,116.2,104.6,69,-0.031,13.48,114,100.5,-1.74,1353
67,70,"UC Irvine","BW",11.52,105.6,94.1,68.9,0.063,0.73,107.7,107,4.76,1414
68,71,"Butler","BE",11.5,116.6,105.1,67.9,-0.09,10.97,112.5,101.6,3.81,1139
69,72,"Yale","Ivy",11.12,115.9,104.7,68.1,-0.072,-2.38,107,109.3,-0.08,1463
70,73,"Liberty","CUSA",11.1,109.2,98.1,65.7,-0.015,0.33,106.5,106.1,-2.19,1251
71,74,"Iowa","B10",11.05,118,106.9,70.1,-0.036,11.33,113.8,102.4,-7.5,1234
72,75,"Saint Joseph's","A10",10.88,111.6,100.8,68.3,-0.07,1.15,107.1,106,-3.57,1386
73,76,"Nevada","MWC",10.68,113.8,103.1,63.9,-0.086,5.32,109.8,104.5,3.17,1305
74,77,"LSU","SEC",10.42,111.2,100.8,68.1,-0.064,13.05,114.2,101.2,-6.44,1261
75,78,"Wake Forest","ACC",10.32,109.1,98.7,67.5,0.11,8.87,112.3,103.4,-1.45,1448
76,79,"Dayton","A10",10.32,116.1,105.8,66.2,0.032,4.66,108.9,104.2,5.29,1173
77,80,"UCF","B12",10.27,115.5,105.3,72.2,0.044,12.37,112.4,100.1,-0.21,1416
78,83,"George Mason","A10",9.52,105.3,95.8,64.8,0.077,1.31,108.2,106.9,-4.67,1206
79,84,"Lipscomb","ASun",9.48,113.1,103.6,66.5,-0.042,-3.86,106.5,110.4,4.58,1252
80,85,"Georgetown","BE",9.42,108.3,98.9,68.5,-0.027,6.77,110.4,103.7,-11.14,1207
81,86,"Stanford","ACC",9.34,112.9,103.5,66.8,0.069,4.87,109.9,105,-3.45,1390
82,87,"Arkansas St.","SB",8.98,110.2,101.2,70,-0.06,-2.41,105.6,108,1.63,1117
83,88,"High Point","BSth",8.79,118.6,109.8,67,0.005,-5.04,105.2,110.2,-5.09,1219
84,89,"Minnesota","B10",8.48,111.2,102.7,62.6,0.053,11.31,113.3,102,-5.24,1278
85,90,"Florida St.","ACC",8.34,110,101.7,70.2,0.011,6.71,111.2,104.5,-1.83,1199
86,91,"UNLV","MWC",7.77,108.2,100.5,65.9,0.001,6.02,110.7,104.6,4.1,1424
87,92,"Providence","BE",7.71,113,105.3,66.6,-0.072,10.43,112.6,102.2,0.73,1344
88,93,"Bradley","MVC",7.66,112.4,104.7,66.1,0.088,0.48,108.8,108.3,-2.12,1133
89,94,"Notre Dame","ACC",7.53,114,106.5,65.2,-0.103,7.92,111.8,103.9,0.87,1323
90,95,"Colorado","B12",7.25,107.6,100.3,67.6,-0.063,13.02,113.7,100.7,-1.11,1160
91,96,"Georgia Tech","ACC",6.94,108.3,101.3,68.9,-0.01,6.47,111.3,104.8,-6.98,1210
92,97,"Oklahoma St.","B12",6.5,108.6,102.1,71.4,0.08,12.11,113.6,101.4,-2.29,1329
93,98,"Grand Canyon","WAC",6.38,105.8,99.5,72,0.04,-2.56,104.3,106.8,-2.05,1213
94,99,"CSUN","BW",6.33,110.1,103.8,72.4,0.024,-2.03,105.7,107.7,-4.41,1169
95,100,"Northern Iowa","MVC",6.22,110.5,104.2,65.5,0.012,0.88,108.3,107.4,-0.84,1320
96,101,"St. Bonaventure","A10",6.19,108,101.8,64.1,0.01,1.69,108.1,106.5,-3.16,1382
97,102,"Virginia","ACC",6.18,111.8,105.6,61.3,0.019,9.77,112.5,102.8,1.73,1438
98,103,"Akron","MAC",6.1,112.1,106,72.3,0.067,-3.07,105.6,108.7,1.93,1103
99,104,"Washington","B10",6,109.9,103.9,68.2,0.015,12.96,114.2,101.2,-3.29,1449
100,105,"Saint Louis","A10",5.59,109.4,103.9,67.5,-0.015,3.88,108.6,104.7,0.4,1387
101,106,"Samford","SC",5.44,113.3,107.8,71.1,0.017,-2.24,106.3,108.5,0.43,1359
102,107,"UAB","Amer",5.19,117.4,112.2,69.4,-0.041,-1.54,106.3,107.9,-7.44,1412
103,108,"UNC Wilmington","CAA",5.08,113.2,108.1,65.8,0.039,-4.03,105.5,109.5,-4,1423
104,109,"Troy","SB",5.01,106.8,101.8,66.3,-0.013,-2.39,105.9,108.3,1.41,1407
105,110,"Chattanooga","SC",5.01,116.2,111.2,66.9,0.064,-1.97,105.8,107.8,0.97,1151
