Rankk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,Connecticut,BE,34,31–3,127.4,71.4,0.9987,57.7,41,15.7,27.4,31.7,25.2,18.3,17.1,58.4,39,37.7,29.4,36.3,40.3,69.8,11.6
2,South Carolina,SEC,33,30–3,124.2,71.3,0.9983,50.9,39.3,16.8,23.4,39.2,31.1,26.2,20.1,51.5,37.4,32.8,29.3,26.5,28.6,70.5,17.2
3,Texas,SEC,34,31–3,119.3,72.2,0.9969,48.6,41.7,18.8,29.5,43.5,29.6,34.5,32.5,49.5,41.7,29.6,27.7,17,24.6,69.9,15
4,UCLA,B10,32,30–2,120.6,73.4,0.9967,53.6,39.8,21.5,21.5,41.1,26.4,25.1,22.4,56,37.9,32.7,29,33.9,33.1,70,15.1
5,Notre Dame,ACC,31,26–5,118.3,72.2,0.9966,54.3,40.4,19.9,24,34.8,27.3,24.2,21.1,52.3,40.6,39.5,26.6,28.2,31.2,75.6,11.2
6,USC,B10,31,28–3,115.7,71.9,0.9958,49.7,40.5,19.8,25.9,37,27.5,32.5,27.3,50.2,39.3,32.4,28.9,32.5,29.3,74.9,13.9
7,Duke,ACC,33,26–7,112.2,73.1,0.9928,49.6,43.4,21,28.8,40.6,29.6,24.8,27.4,49,42.7,34.1,30.1,27.6,27.2,69.6,11
8,TCU,B12,34,31–3,123.1,81.1,0.9918,55.4,41.6,17.7,20.1,34,25.2,24.1,24.9,54.8,38.7,37.6,33,42.4,26.9,66.9,11.3
9,West Virginia,B12,31,24–7,110.9,74.3,0.9901,50.8,44.8,21.6,33.1,36.3,29.6,30.4,28.3,51.5,44.5,33.1,30.2,35.8,35.3,71.3,5.3
10,Kansas St.,B12,33,26–7,117.5,78.8,0.99,55.8,41.3,18.1,21.6,30.4,25.3,23.1,21.3,54.5,40.3,38.8,29,35.3,32.1,70.8,5.8
11,Mississippi,SEC,30,20–10,114.2,77.8,0.988,48.3,45.2,19.5,29.8,41.6,28.8,32.3,31.9,49,44.7,30.9,31.2,26.8,24.6,69,5.2
12,Oklahoma,SEC,32,25–7,112.8,76.9,0.988,52.4,42.4,23.4,20.8,37.2,25.2,28.6,26.1,55,41.7,32.3,29.2,38.6,33.2,79.2,8.8
13,Ohio St.,B10,30,24–6,111.1,76.2,0.9871,50,45.8,16.9,29.1,29.1,31.1,30.4,25,49.5,45.7,34.1,30.8,29.4,34,73.7,8.4
14,Kentucky,SEC,29,22–7,114.2,78.5,0.9868,51.6,39.4,18.5,18.1,29.1,30.1,23.2,25.6,54.4,39.6,31.7,26,40.3,28.8,70.2,7
15,LSU,SEC,33,28–5,114.9,79.1,0.9865,49,42.1,19.2,23.5,43,30.2,32,27.1,48.7,42.9,33.5,27.1,20.7,36.3,74.4,9.8
